[롯데] 2026년 07월 예약가능 잔여객실 현황
수집일시: 2026-07-12 08:04
==================================================

■ 지점명: 롯데리조트 부여 (충청)
  - 2026년 07월 12일 (일요일) | 디럭스 트리플 | 예약가능 (2실)
  - 2026년 07월 23일 (목요일) | 31 C-TYPE 프리미엄 더블룸 | 예약가능 (4실)
  - 2026년 07월 24일 (금요일) | 18 A- TYPE 더블룸 | 예약가능 (10실)
  - 2026년 07월 24일 (금요일) | 18 A- TYPE 트윈룸 | 예약가능 (11실)
  - 2026년 07월 24일 (금요일) | 23 C-TYPE 펫 더블+더블룸 | 예약가능 (2실)
  - 2026년 07월 24일 (금요일) | 31 A-TYPE  더블+온돌룸 | 예약가능 (6실)
  - 2026년 07월 24일 (금요일) | 31 B-TYPE 더블+온돌룸 | 예약가능 (6실)
  - 2026년 07월 24일 (금요일) | 31 C-TYPE 풀 더블+더블룸 | 예약가능 (4실)
  - 2026년 07월 24일 (금요일) | 31 C-TYPE 프리미엄 더블룸 | 예약가능 (1실)
  - 2026년 07월 25일 (토요일) | 18 A- TYPE 트윈룸 | 예약가능 (8실)
  - 2026년 07월 25일 (토요일) | 18 C-TYPE 펫 트윈룸 | 예약가능 (1실)
  - 2026년 07월 25일 (토요일) | 23 C-TYPE 펫 더블+더블룸 | 예약가능 (2실)
  - 2026년 07월 25일 (토요일) | 31 C-TYPE 풀 더블+더블룸 | 예약가능 (5실)
  - 2026년 07월 26일 (일요일) | 18 A- TYPE 더블룸 | 예약가능 (9실)
  - 2026년 07월 26일 (일요일) | 18 A- TYPE 트윈룸 | 예약가능 (8실)
  - 2026년 07월 26일 (일요일) | 31 A-TYPE  더블+온돌룸 | 예약가능 (5실)
  - 2026년 07월 26일 (일요일) | 31 A-TYPE 트윈+더블룸 | 예약가능 (3실)
  - 2026년 07월 26일 (일요일) | 31 A-TYPE 트윈+온돌룸 | 예약가능 (4실)
  - 2026년 07월 26일 (일요일) | 31 B-TYPE 더블+온돌룸 | 예약가능 (3실)
  - 2026년 07월 26일 (일요일) | 31 B-TYPE 트윈+온돌룸 | 예약가능 (6실)
  - 2026년 07월 26일 (일요일) | 31 C-TYPE 풀 더블+더블룸 | 예약가능 (4실)
  - 2026년 07월 26일 (일요일) | 31 C-TYPE 프리미엄 더블룸 | 예약가능 (4실)
  - 2026년 07월 27일 (월요일) | 18 A- TYPE 더블룸 | 예약가능 (12실)
  - 2026년 07월 27일 (월요일) | 18 A- TYPE 트윈룸 | 예약가능 (12실)
  - 2026년 07월 27일 (월요일) | 23 C-TYPE 핸디캡룸 | 예약가능 (6실)
  - 2026년 07월 27일 (월요일) | 31 C-TYPE 빼빼로 더블+온돌룸 | 예약가능 (1실)
  - 2026년 07월 27일 (월요일) | 31 C-TYPE 풀 더블+더블룸 | 예약가능 (2실)
  - 2026년 07월 27일 (월요일) | 31 C-TYPE 프리미엄 더블룸 | 예약가능 (4실)
  - 2026년 07월 28일 (화요일) | 18 A- TYPE 더블룸 | 예약가능 (9실)
  - 2026년 07월 28일 (화요일) | 18 A- TYPE 트윈룸 | 예약가능 (7실)
  - 2026년 07월 28일 (화요일) | 23 C-TYPE 펫 더블+더블룸 | 예약가능 (1실)
  - 2026년 07월 28일 (화요일) | 23 C-TYPE 핸디캡룸 | 예약가능 (6실)
  - 2026년 07월 28일 (화요일) | 31 A-TYPE  더블+온돌룸 | 예약가능 (4실)
  - 2026년 07월 28일 (화요일) | 31 A-TYPE 트윈+온돌룸 | 예약가능 (6실)
  - 2026년 07월 28일 (화요일) | 31 B-TYPE 더블+온돌룸 | 예약가능 (6실)
  - 2026년 07월 28일 (화요일) | 31 B-TYPE 트윈+온돌룸 | 예약가능 (8실)
  - 2026년 07월 28일 (화요일) | 31 C-TYPE 말랑이 더블+온돌룸 | 예약가능 (2실)
  - 2026년 07월 28일 (화요일) | 31 C-TYPE 빼빼로 더블+온돌룸 | 예약가능 (1실)
  - 2026년 07월 28일 (화요일) | 31 C-TYPE 풀 더블+더블룸 | 예약가능 (2실)
  - 2026년 07월 28일 (화요일) | 31 C-TYPE 프리미엄 더블룸 | 예약가능 (5실)
  - 2026년 07월 28일 (화요일) | 45 B-TYPE 트윈+트윈룸 | 예약가능 (1실)
  - 2026년 07월 29일 (수요일) | 18 A- TYPE 더블룸 | 예약가능 (13실)
  - 2026년 07월 29일 (수요일) | 18 A- TYPE 트윈룸 | 예약가능 (8실)
  - 2026년 07월 29일 (수요일) | 18 C-TYPE 펫 트윈룸 | 예약가능 (2실)
  - 2026년 07월 29일 (수요일) | 23 C-TYPE 펫 더블+더블룸 | 예약가능 (2실)
  - 2026년 07월 29일 (수요일) | 31 A-TYPE 트윈+온돌룸 | 예약가능 (5실)
  - 2026년 07월 29일 (수요일) | 31 C-TYPE 풀 더블+더블룸 | 예약가능 (4실)
  - 2026년 07월 29일 (수요일) | 31 C-TYPE 프리미엄 더블룸 | 예약가능 (4실)
  - 2026년 07월 30일 (목요일) | 18 A- TYPE 트윈룸 | 예약가능 (6실)
  - 2026년 07월 30일 (목요일) | 23 C-TYPE 펫 더블+더블룸 | 예약가능 (2실)
  - 2026년 07월 30일 (목요일) | 31 A-TYPE 트윈+더블룸 | 예약가능 (5실)
  - 2026년 07월 30일 (목요일) | 31 C-TYPE 프리미엄 더블룸 | 예약가능 (6실)
  - 2026년 07월 31일 (금요일) | 18 A- TYPE 더블룸 | 예약가능 (17실)
  - 2026년 07월 31일 (금요일) | 18 A- TYPE 트윈룸 | 예약가능 (3실)
  - 2026년 07월 31일 (금요일) | 18 C-TYPE 펫 트윈룸 | 예약가능 (1실)
  - 2026년 07월 31일 (금요일) | 31 A-TYPE 트윈+더블룸 | 예약가능 (5실)
  - 2026년 07월 31일 (금요일) | 31 C-TYPE 말랑이 더블+온돌룸 | 예약가능 (2실)
